檔案id,體型,檔案長寬,腳長,身長,臀寬,腰寬,胸寬
M_0_IUV.png,M,"(1000, 667)",304,274,169,159,151
M_10_IUV.png,M,"(1000, 667)",405,240,171,144,153
M_14_IUV.png,M,"(450, 318)",175,130,69,69,64
M_15_IUV.png,M,"(1300, 902)",521,311,221,190,191
M_16_IUV.png,M,"(1080, 1080)",443,289,194,187,180
M_17_IUV.png,M,"(450, 300)",145,110,61,62,53
M_18_IUV.png,M,"(500, 334)",186,140,81,81,78
M_19_IUV.png,M,"(500, 334)",201,115,70,65,61
M_1_IUV.png,M,"(550, 549)",248,150,94,70,81
M_20_IUV.png,M,"(500, 334)",169,144,83,88,71
M_22_IUV.png,M,"(500, 334)",178,140,88,90,86
M_23_IUV.png,M,"(500, 334)",176,141,61,73,71
M_26_IUV.png,M,"(450, 318)",154,104,71,60,54
M_27_IUV.png,M,"(800, 533)",315,186,141,127,122
M_30_IUV.png,M,"(450, 299)",174,133,96,82,89
M_31_IUV.png,M,"(450, 299)",177,89,66,61,53
M_32_IUV.png,M,"(450, 334)",168,104,69,69,87
M_35_IUV.png,M,"(800, 533)",281,209,130,111,117
M_37_IUV.png,M,"(480, 480)",193,131,88,68,64
M_38_IUV.png,M,"(400, 327)",177,104,64,59,54
M_3_IUV.png,M,"(500, 460)",176,109,68,61,55
M_41_IUV.png,M,"(470, 283)",142,125,64,69,70
M_42_IUV.png,M,"(447, 337)",141,116,73,64,67
M_43_IUV.png,M,"(800, 800)",341,186,144,127,125
M_45_IUV.png,M,"(1700, 1067)",587,408,312,320,306
M_47_IUV.png,M,"(1024, 645)",375,245,169,162,157
M_48_IUV.png,M,"(851, 320)",308,227,117,135,137
M_4_IUV.png,M,"(600, 392)",267,164,107,95,111
M_51_IUV.png,M,"(254, 169)",99,68,43,40,38
M_52_IUV.png,M,"(470, 298)",183,125,77,77,80
M_54_IUV.png,M,"(470, 300)",173,135,80,70,72
M_56_IUV.png,M,"(1390, 867)",526,332,210,178,196
M_57_IUV.png,M,"(900, 600)",343,221,155,132,122
M_5_IUV.png,M,"(1450, 934)",483,337,209,180,179
M_60_IUV.png,M,"(800, 563)",405,213,148,138,150
M_61_IUV.png,M,"(800, 563)",363,224,140,134,159
M_64_IUV.png,M,"(800, 533)",348,206,115,114,112
M_65_IUV.png,M,"(800, 533)",364,215,136,127,123
M_66_IUV.png,M,"(1125, 750)",435,254,154,153,164
M_75_IUV.png,M,"(305, 305)",134,81,56,50,52
M_76_IUV.png,M,"(444, 300)",196,115,72,67,64
